SampleID	UMAP1	UMAP2	class	Segment	Scan	Patient
DSP-1001250007851-H-A02.dcc	-6.52616492082488	6.93542687847929	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A03.dcc	-5.2680167274655	7.51243798687773	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A04.dcc	-5.91398421098601	8.0841495270999	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A05.dcc	-5.68741026689422	7.88024537518339	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A06.dcc	-6.59986630250823	7.66356961682158	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A07.dcc	-6.38937416841399	7.13510720684843	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A08.dcc	-6.35401144792449	7.64109532788115	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A09.dcc	-5.11449852754485	7.62473790600615	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A10.dcc	-5.18474379350554	7.67369382336455	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A11.dcc	-6.64113465120208	7.08002774670439	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-A12.dcc	-5.5813302116574	7.22614114239531	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B01.dcc	-6.53639546205413	7.22199552014189	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B02.dcc	-6.48221436311614	7.67748658612089	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B03.dcc	-5.8557967262448	7.9936315293582	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B04.dcc	-6.12755432893645	7.77666394665556	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B05.dcc	-6.55010834504973	7.53380410626249	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B06.dcc	-6.29383841325652	7.64524571850615	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B07.dcc	-6.31368771364104	7.56909196331816	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B08.dcc	-5.90894022752654	7.81850640728789	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B09.dcc	-6.63461199571502	7.10139863446074	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B10.dcc	-6.41055813600432	7.8726951356204	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B11.dcc	-6.58336916734588	7.53991334393339	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-B12.dcc	-6.40197888185393	7.87126748516874	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-C01.dcc	-5.48438731004607	7.40557973339873	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-C02.dcc	-5.63067808915984	8.06659524395781	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-C03.dcc	-5.48900452424895	7.99013059094267	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-C04.dcc	-5.35078755189788	7.55356423809843	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-C05.dcc	-5.65476361085784	7.63056676342802	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-C06.dcc	-5.4934133606137	7.89425103619414	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-C07.dcc	-5.4076618271054	7.88372342541533	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-C08.dcc	-5.68166390230071	7.66475217297392	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-C09.dcc	-5.98550167848479	7.43657796337919	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-C10.dcc	-6.38082161714446	7.23567597821074	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-C11.dcc	-6.6364683227719	7.12449471905546	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-D02.dcc	-5.7345375137509	7.45327489331083	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-D03.dcc	-6.31614247133147	7.57007424786406	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-D04.dcc	-5.92732802202117	7.66134564831572	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-D05.dcc	-6.5556053238095	7.06178014233427	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-D06.dcc	-5.19580975343596	7.61715142681914	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-D07.dcc	-6.09417620469939	7.71714894726591	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-D08.dcc	-5.34775629808318	7.84778993084746	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-D09.dcc	-5.63944664766204	7.72731988385039	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-D10.dcc	-5.3010510521115	7.7192117448123	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-D11.dcc	-5.79152193834197	7.63374440625029	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-D12.dcc	-5.51048889924895	7.65378301098662	DKD	Geometric Segment	Scan_01	Pt_01
DSP-1001250007851-H-E01.dcc	12.803330986005	2.29878203823881	DKD	PanCK+	Scan_02	Pt_02
DSP-1001250007851-H-E02.dcc	10.0874334258853	1.45008819058256	DKD	PanCK-	Scan_02	Pt_02
DSP-1001250007851-H-E03.dcc	12.9682403487979	2.26898066952543	DKD	PanCK+	Scan_02	Pt_02
DSP-1001250007851-H-E04.dcc	9.96103152464021	1.49188773587065	DKD	PanCK-	Scan_02	Pt_02
DSP-1001250007851-H-E05.dcc	11.8690877837955	2.14206950619536	DKD	PanCK+	Scan_02	Pt_02
DSP-1001250007851-H-E06.dcc	10.1674791259586	1.50493447735624	DKD	PanCK-	Scan_02	Pt_02
DSP-1001250007851-H-E07.dcc	12.9839750213443	2.26880662396269	DKD	PanCK+	Scan_02	Pt_02
DSP-1001250007851-H-E08.dcc	10.3514171523868	1.62723891690092	DKD	PanCK-	Scan_02	Pt_02
DSP-1001250007851-H-E09.dcc	11.867913810712	2.06935756161528	DKD	PanCK+	Scan_02	Pt_02
DSP-1001250007851-H-E10.dcc	10.4236608428775	1.70674388363676	DKD	PanCK-	Scan_02	Pt_02
DSP-1001250007851-H-E11.dcc	11.8070894164859	2.14877192929106	DKD	PanCK+	Scan_02	Pt_02
DSP-1001250007851-H-E12.dcc	10.3607526702701	1.68829362347441	DKD	PanCK-	Scan_02	Pt_02
DSP-1001250007851-H-F01.dcc	-4.19042530824553	1.23438136532622	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F02.dcc	-4.0205825882138	1.05909697964506	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F03.dcc	-4.20056143571746	1.24465434506254	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F04.dcc	-4.23177519609343	1.27733724072294	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F05.dcc	-4.19609823991668	1.24028794720488	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F06.dcc	-3.96881666948211	1.00070970013457	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F07.dcc	-3.96970263292205	1.00429456188994	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F08.dcc	-3.95656719972503	0.987731623199751	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F09.dcc	-4.24016037752044	1.28638141110258	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F10.dcc	-4.21178332139861	1.25652282193022	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F11.dcc	-4.16936817933928	1.21323697522001	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007851-H-F12.dcc	-3.94260493089568	0.974488901642133	DKD	Geometric Segment	Scan_02	Pt_02
DSP-1001250007864-D-A02.dcc	13.5883651656925	1.74995677426176	normal	PanCK+	Scan_03	Pt_03
DSP-1001250007864-D-A03.dcc	9.30345019529451	1.2245189423831	normal	PanCK-	Scan_03	Pt_03
DSP-1001250007864-D-A04.dcc	13.4756694717227	1.64036385968046	normal	PanCK+	Scan_03	Pt_03
DSP-1001250007864-D-A05.dcc	9.23719653318513	1.14295308544951	normal	PanCK-	Scan_03	Pt_03
