Segment	Signature	pvalue
Geometric Segment	ENDOTHELIAL.CELL	0.626033804142911
Geometric Segment	STROMAL.CELL	0.253652326892186
Geometric Segment	CAF	0.203876635024536
Geometric Segment	BASOPHILE	0.129682487453983
Geometric Segment	B.CELL	2.12153540288936e-13
Geometric Segment	EOSINOPHIL	2.79106721796589e-16
Geometric Segment	MDSC	0.549455389281989
Geometric Segment	MEGAKAROCYTE	0.416679885596164
Geometric Segment	MYELOID.DENDRITIC.CELL	1.08649232749415e-05
Geometric Segment	NEUTROPHIL	2.85230934491143e-15
Geometric Segment	NK.CELL	2.52798283871135e-05
Geometric Segment	PLASMACYTOID.DENDRITIC.CELL	1.30534846148085e-08
Geometric Segment	PLATELET	0.0146452489629471
Geometric Segment	T.FOLLICULAR.HELPER	5.0765810907353e-05
Geometric Segment	TH1	0.629190547918582
Geometric Segment	TH2	0.76387145217753
Geometric Segment	TH9	0.700268485346709
Geometric Segment	TH17	0.740226453696796
Geometric Segment	TREG	2.93772405194665e-06
Geometric Segment	CYTOTOXIC.CD8.T.CELL	2.98576341038046e-10
Geometric Segment	MACROPHAGE	1.60166916732038e-14
Geometric Segment	CYTOTOXIC.T.CELL.(SPECIFIC.MARKERS)	1.11613033882575e-08
Geometric Segment	CELL.CYCLE:.G1/S	4.05258863371862e-11
Geometric Segment	CELL.CYCLE:.G2/M	4.45625797526628e-08
PanCK+	ENDOTHELIAL.CELL	0.0031483829713747
PanCK+	STROMAL.CELL	0.000390101110708549
PanCK+	CAF	0.000756924923873708
PanCK+	BASOPHILE	0.000975009274085542
PanCK+	B.CELL	0.00725990501102945
PanCK+	EOSINOPHIL	0.00158684532626594
PanCK+	MDSC	0.000665256127847413
PanCK+	MEGAKAROCYTE	0.0357082473443648
PanCK+	MYELOID.DENDRITIC.CELL	0.00281884191542266
PanCK+	NEUTROPHIL	5.54869249554165e-05
PanCK+	NK.CELL	0.0059383419348598
PanCK+	PLASMACYTOID.DENDRITIC.CELL	0.00391112806840427
PanCK+	PLATELET	0.0200818056986747
PanCK+	T.FOLLICULAR.HELPER	0.0106881001691661
PanCK+	TH1	0.0117371541272494
PanCK+	TH2	0.256507355119339
PanCK+	TH9	0.844871398017406
PanCK+	TH17	0.729121198473619
PanCK+	TREG	5.54869249554165e-05
PanCK+	CYTOTOXIC.CD8.T.CELL	0.00883064344881823
PanCK+	MACROPHAGE	4.24825109257087e-06
PanCK+	CYTOTOXIC.T.CELL.(SPECIFIC.MARKERS)	0.000511233165873588
PanCK+	CELL.CYCLE:.G1/S	0.0909471954014199
PanCK+	CELL.CYCLE:.G2/M	0.751883872926577
PanCK-	ENDOTHELIAL.CELL	0.00184857980954342
PanCK-	STROMAL.CELL	0.00363607581966021
PanCK-	CAF	0.0193699784521708
PanCK-	BASOPHILE	0.31200859462391
PanCK-	B.CELL	0.0420010321181927
PanCK-	EOSINOPHIL	0.00150918183260495
PanCK-	MDSC	0.0259549274722602
PanCK-	MEGAKAROCYTE	0.0030125959507486
PanCK-	MYELOID.DENDRITIC.CELL	0.014264379873065
PanCK-	NEUTROPHIL	0.0154178905192797
PanCK-	NK.CELL	0.0654720748755913
PanCK-	PLASMACYTOID.DENDRITIC.CELL	0.104123310692127
PanCK-	PLATELET	0.211312893858983
PanCK-	T.FOLLICULAR.HELPER	0.968701911805774
PanCK-	TH1	0.0016711988011435
PanCK-	TH2	0.57338927076159
PanCK-	TH9	0.0208658764182874
PanCK-	TH17	0.487398715756854
PanCK-	TREG	0.0367476548883075
PanCK-	CYTOTOXIC.CD8.T.CELL	0.201739468943108
PanCK-	MACROPHAGE	0.0830327905774737
PanCK-	CYTOTOXIC.T.CELL.(SPECIFIC.MARKERS)	0.42385122723162
PanCK-	CELL.CYCLE:.G1/S	0.31200859462391
PanCK-	CELL.CYCLE:.G2/M	0.42385122723162
