panel	slide name	class	segment	area	nuclei	Segment	NegGeoMean_Hsa_WTA_v1.0	NegGeoSD_Hsa_WTA_v1.0	GenesDetected	GeneDetectionRate	DetectionThreshold	q_norm_qFactors
DSP-1001250007851-H-A02.dcc	WTX	disease3	DKD	Geometric Segment	31797.59	202	Geometric Segment	10.9538434985053	1.48778946646326	7220	0.390185905750108	>15%	1.51547866022449
DSP-1001250007851-H-A03.dcc	WTX	disease3	DKD	Geometric Segment	16920.1	102	Geometric Segment	7.01276488208118	1.63020353985846	5358	0.289559014267185	>15%	1.02397206771925
DSP-1001250007851-H-A04.dcc	WTX	disease3	DKD	Geometric Segment	14312.33	98	Geometric Segment	5.49130827014821	1.74216133746028	5065	0.273724600086468	>15%	0.901095419592941
DSP-1001250007851-H-A05.dcc	WTX	disease3	DKD	Geometric Segment	20032.84	143	Geometric Segment	7.34772698439307	1.7142930435309	5108	0.276048421962819	>15%	1.18780759855433
DSP-1001250007851-H-A06.dcc	WTX	disease3	DKD	Geometric Segment	27583.26	195	Geometric Segment	11.5289840702711	1.46381668228655	8915	0.481787721573714	>15%	1.76123195647711
DSP-1001250007851-H-A07.dcc	WTX	disease3	DKD	Geometric Segment	18164.84	97	Geometric Segment	5.13740364950786	1.76638504361871	3672	0.198443579766537	>15%	0.778218771466631
DSP-1001250007851-H-A08.dcc	WTX	disease3	DKD	Geometric Segment	25827.59	183	Geometric Segment	10.552572792679	1.49290579692567	8269	0.44687635105923	>15%	1.55643754293326
DSP-1001250007851-H-A09.dcc	WTX	disease3	DKD	Geometric Segment	12021.51	86	Geometric Segment	5.30393630145746	1.67258347170919	5681	0.307014699524427	>15%	0.860136536884171
DSP-1001250007851-H-A10.dcc	WTX	disease3	DKD	Geometric Segment	22156.95	147	Geometric Segment	8.57644723104044	1.54858859579733	6017	0.325172935581496	>15%	1.2287664812631
DSP-1001250007851-H-A11.dcc	WTX	disease3	DKD	Geometric Segment	26042.71	195	Geometric Segment	11.0953159720952	1.50477164156669	6398	0.345763078253351	>15%	1.51547866022449
DSP-1001250007851-H-A12.dcc	WTX	disease3	DKD	Geometric Segment	14519.38	82	Geometric Segment	5.84553941862969	1.63709087549483	5261	0.284316904453091	>15%	0.860136536884171
DSP-1001250007851-H-B01.dcc	WTX	disease3	DKD	Geometric Segment	24344.16	164	Geometric Segment	6.6983284054	1.6209080149123	4790	0.258862948551665	>15%	0.901095419592941
DSP-1001250007851-H-B02.dcc	WTX	disease3	DKD	Geometric Segment	19077.46	141	Geometric Segment	5.76511151952605	1.60397873150994	5952	0.321660181582361	>15%	0.860136536884171
DSP-1001250007851-H-B03.dcc	WTX	disease3	DKD	Geometric Segment	21760.92	156	Geometric Segment	5.32883289985885	1.7331968579435	3621	0.195687418936446	>15%	0.778218771466631
DSP-1001250007851-H-B04.dcc	WTX	disease3	DKD	Geometric Segment	20961.11	147	Geometric Segment	7.72185839866244	1.56933377133384	4948	0.267401642888024	>15%	1.02397206771925
DSP-1001250007851-H-B05.dcc	WTX	disease3	DKD	Geometric Segment	19698.46	162	Geometric Segment	5.96479033246933	1.68474302317742	5119	0.276642888024211	>15%	0.901095419592941
DSP-1001250007851-H-B06.dcc	WTX	disease3	DKD	Geometric Segment	19074.88	149	Geometric Segment	5.68581357775944	1.73185641160592	4192	0.22654561175962	>15%	0.860136536884171
DSP-1001250007851-H-B07.dcc	WTX	disease3	DKD	Geometric Segment	18329.61	153	Geometric Segment	5.10505000195541	1.70084948033465	4606	0.248919152615651	>15%	0.737259888757861
DSP-1001250007851-H-B08.dcc	WTX	disease3	DKD	Geometric Segment	21006.46	159	Geometric Segment	5.87260690696423	1.64467000441433	5303	0.286586683960225	>15%	0.860136536884171
DSP-1001250007851-H-B09.dcc	WTX	disease3	DKD	Geometric Segment	25569.54	174	Geometric Segment	6.82121580497393	1.68332084528127	3896	0.210549070471249	>15%	0.942054302301711
DSP-1001250007851-H-B10.dcc	WTX	disease3	DKD	Geometric Segment	25085.55	182	Geometric Segment	6.41160862541398	1.69955271757743	4403	0.237948551664505	>15%	0.942054302301711
